state_name,species_code,common_name,scientific_name,percent_pop_breeding,percent_pop_postbreeding_migration,percent_pop_nonbreeding,percent_pop_prebreeding_migration,max_week_season,max_week,max_week_percent_pop,state_rank_breeding,breeding_habitat_primary,breeding_habitat_secondary
Washington,hutvir,Hutton's Vireo,Vireo huttoni,3.61,3.61,3.61,3.61,resident,year round resident,NA,4 of 6,Forests:  Temperate Western,Forests:  Mesoamerican Highland
Washington,killde,Killdeer,Charadrius vociferus,0.93,0.55,0.2,0.8,prebreeding_migration,03-22,1.059,28 of 48,Open Country:  Habitat Mosaic,Wetlands:  Generalist
Washington,larspa,Lark Sparrow,Chondestes grammacus,0.75,0.28,0,0.14,breeding,07-12,0.9457,17 of 29,Open Country:  Habitat Mosaic,NA
Washington,lazbun,Lazuli Bunting,Passerina amoena,9.08,3.38,0,4.05,postbreeding_migration,07-26,9.925,6 of 15,Forests:  Temperate Western,NA
Washington,leafly,Least Flycatcher,Empidonax minimus,0.01,0,0,0.01,prebreeding_migration,06-14,0.02881,22 of 22,Forests:  Temperate Eastern,Forests:  Temperate Western
Washington,leasan,Least Sandpiper,Calidris minutilla,0,0.24,0.19,0.29,prebreeding_migration,04-26,1.993,NA,Wetlands:  Tundra,NA
Washington,lesgol,Lesser Goldfinch,Spinus psaltria,0.52,0.46,0.5,0.38,nonbreeding,12-27,0.8201,9 of 13,Forests:  Temperate Western,Forests:  Mesoamerican Pine-Oak
Washington,lessca,Lesser Scaup,Aythya affinis,0.08,0.78,1.95,0.79,nonbreeding,01-11,2.446,8 of 14,Wetlands:  Lakes and Rivers,Wetlands:  Freshwater Marsh
Washington,lesyel,Lesser Yellowlegs,Tringa flavipes,0,0.02,0,0.01,postbreeding_migration,08-16,0.1213,NA,Wetlands:  Boreal,NA
Washington,lewwoo,Lewis's Woodpecker,Melanerpes lewis,12.2,9.16,19.32,10.22,nonbreeding,01-04,33.61,4 of 13,Forests:  Temperate Western,NA
Washington,linspa,Lincoln's Sparrow,Melospiza lincolnii,0.07,0.84,0.15,0.13,postbreeding_migration,09-06,3.829,14 of 16,Wetlands:  Boreal,Forests:  Temperate Western
Washington,lobcur,Long-billed Curlew,Numenius americanus,0.99,0,0,0.57,breeding,05-31,1.318,12 of 17,Grasslands:  Temperate,NA
Washington,lobdow,Long-billed Dowitcher,Limnodromus scolopaceus,0,0.13,0.03,0.06,postbreeding_migration,07-12,0.8768,NA,Wetlands:  Tundra,NA
Washington,loeowl,Long-eared Owl,Asio otus,0,0.28,0.22,0.08,postbreeding_migration,11-29,6.426,NA,Forests:  Temperate Generalist,NA
Washington,logshr,Loggerhead Shrike,Lanius ludovicianus,0.44,0.11,0,0.21,postbreeding_migration,07-26,0.6983,22 of 31,Grasslands:  Temperate,Aridlands:  Desert Scrub
Washington,lotduc,Long-tailed Duck,Clangula hyemalis,0,0.05,0.29,0.06,unidentified,01-25,0.4755,NA,Wetlands:  Tundra,NA
Washington,macwar,MacGillivray's Warbler,Geothlypis tolmiei,6.94,2.82,0,5.48,postbreeding_migration,08-09,10.68,5 of 13,Forests:  Temperate Western,NA
